"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Get exercises","LMS service","Sun Jan 11 14:56:41 UTC 2026","passed","Sun Jan 11 14:56:42 UTC 2026","Get entities","Exercises","",""
"","24","Delete exercise","LMS service","Sun Jan 11 14:56:42 UTC 2026","passed","Sun Jan 11 14:56:42 UTC 2026","Delete entity","Exercises","",""
"","558","Create user","LMS service","Sun Jan 11 14:56:46 UTC 2026","passed","Sun Jan 11 14:56:46 UTC 2026","Create entity","Users","",""
"","546","Create file","LMS service","Sun Jan 11 14:56:43 UTC 2026","passed","Sun Jan 11 14:56:43 UTC 2026","Create entity","Files","",""
"","824","Create user","LMS service","Sun Jan 11 14:56:45 UTC 2026","passed","Sun Jan 11 14:56:46 UTC 2026","Create entity","Users","",""
"","21","Update exercise","LMS service","Sun Jan 11 14:56:42 UTC 2026","passed","Sun Jan 11 14:56:42 UTC 2026","Update entity","Exercises","",""
"","580","Create course","LMS service","Sun Jan 11 14:56:39 UTC 2026","passed","Sun Jan 11 14:56:40 UTC 2026","Create entity","Courses","",""
"","271","Create file with empty filename","LMS service","Sun Jan 11 14:56:45 UTC 2026","passed","Sun Jan 11 14:56:45 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Sun Jan 11 14:56:43 UTC 2026","passed","Sun Jan 11 14:56:43 UTC 2026","Get entity","Files","",""
"","821","Create user","LMS service","Sun Jan 11 14:56:45 UTC 2026","passed","Sun Jan 11 14:56:46 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sun Jan 11 14:56:47 UTC 2026","passed","Sun Jan 11 14:56:47 UTC 2026","Get entity","Users","",""
"","23","Get exercise","LMS service","Sun Jan 11 14:56:40 UTC 2026","passed","Sun Jan 11 14:56:40 UTC 2026","Get entity","Exercises","",""
"","542","Get file with incorrect file id","LMS service","Sun Jan 11 14:56:45 UTC 2026","passed","Sun Jan 11 14:56:46 UTC 2026","Validate entity","Files","",""
"","18","Delete file","LMS service","Sun Jan 11 14:56:44 UTC 2026","passed","Sun Jan 11 14:56:44 UTC 2026","Delete entity","Files","",""
"","537","Create file with empty directory","LMS service","Sun Jan 11 14:56:44 UTC 2026","passed","Sun Jan 11 14:56:45 UTC 2026","Validate entity","Files","",""
"","525","Login with correct email and password","LMS service","Sun Jan 11 14:56:37 UTC 2026","passed","Sun Jan 11 14:56:38 UTC 2026","Login","Authentication","",""
"","314","Get Courses","LMS service","Sun Jan 11 14:56:38 UTC 2026","passed","Sun Jan 11 14:56:39 UTC 2026","Get entities","Courses","",""
"","298","Create exercise","LMS service","Sun Jan 11 14:56:38 UTC 2026","passed","Sun Jan 11 14:56:39 UTC 2026","Create entity","Exercises","",""
"","857","Update course","LMS service","Sun Jan 11 14:56:40 UTC 2026","passed","Sun Jan 11 14:56:41 UTC 2026","Update entity","Courses","",""
